Ticker,Type,Probability,Predicted Change,Predicted Variance,Confidence,Current Price,Target Price,SL Price,AIC Score
ETHOSLTD.NS,Short,0.49040128996297094,5.055648186542053,25.559578586085948,Low,2550.800048828125,2421.840572417232,2628.175734674661,207.95749484211342
DBSTOCKBRO.NS,Short,0.45602858888243286,1.6478958829199697,2.7155608409445864,Low,25.68000030517578,25.256820637412954,25.933908105833478,203.91927531220216
DHARAN.NS,,,,,,,,,
DELTAMAGNT.NS,Short,0.38718201182400885,5.411780480043833,29.28736796418346,Low,86.41000366210938,81.73368395111818,89.21579548870409,200.12631572991182
HEUBACHIND.NS,Short,0.47060041407208864,159.4108630758474,25411.823266586573,Low,594.0499877929688,-352.9302248497688,1162.2381153786114,-14.191475706115206
LATENTVIEW.NS,Short,0.4578998509533243,10.296858329873771,106.02529146549087,Low,408.0,365.988818014115,433.206709191531,178.54202886184157
DISHTV.NS,Short,0.3846650854158638,6.356144810318146,40.4005768497343,Low,5.150000095367432,4.822658631574355,5.346404973643278,210.66789719384036
DHARMAJ.NS,Short,0.4823364354225007,1.7672050899501357,3.1230138299456676,Low,323.20001220703125,317.4884051405891,326.6269764468965,191.2870904550962
BLUECOAST.NS,Short,0.17082895212557792,59.316347034077204,3518.429025467079,Low,67.1500015258789,27.31907358740044,91.04855828896598,102.54292547970097
LODH...,,,,,,,,,
DCMNVL.NS,Short,0.43705477982000873,20.924390001766152,437.8300969460114,Low,164.0,129.68400039710352,184.5895997617379,193.20405528439238
BLAL.NS,Short,0.46835087475361753,8.229580393761342,67.7259934573811,Low,214.61000061035156,196.94849807707098,225.20690213031992,157.0287483452271
JETFREIGHT.NS,Short,0.4300113249793269,4.591001124855004,21.077291328419914,High,13.079999923706055,12.479496980077677,13.440301689883082,159.2027083278709
BFUTILITIE.NS,Short,0.42283138495297906,1.5535055420230926e-131,2.4133794690964625e-262,,,,,
ATULAUTO.NS,Long,0.5309354092848426,3.7213380052766705,13.848356549516549,Medium,491.70001220703125,509.9978316332415,480.7213205513051,226.4059951498483
ANIKINDS.NS,Short,0.45336186165408093,2.896372820150459,8.388975513306324,High,65.52999877929688,63.63200570560839,66.66879462350997,230.64050551295327
ACMESOLAR.NS,Long,0.532799058402853,15.136215569207508,229.10502175751978,Low,280.8500061035156,323.3600684534762,255.3439686935393,71.84527980172419
APLLTD.NS,Short,0.44643616028159366,3.236111859867457,10.47241996957481,Low,921.9000244140625,892.066308387878,939.8002540297732,169.12685716956753
ARCHIDPLY.NS,Short,0.39521765968304173,4.731621172703235,22.388238921973542,Low,103.76000213623047,98.85047190635525,106.7057202741556,210.48828967460054
LIBAS.NS,Short,0.40856172518771217,24.61063681508694,605.6834444441126,Low,12.770000457763672,9.627222023818515,14.655667518130766,223.80734048130316
EIHOTEL.NS,Short,0.45104748170709574,7.028930205369556,49.405859831956505,Low,379.20001220703125,352.5463080102462,395.1922347251023,202.67209679080088
KALYANIFRG.NS,Long,0.5220295143202908,4.97845161290877,24.78498046207393,Low,676.75,710.4416712903601,656.534997225784,192.59707901900103
KCPSUGIND.NS,Short,0.44275831504003677,0.0,0.0,,,,,
HATHWAY.NS,Short,0.37899661421593656,38.87685775272896,1511.4100687259215,Low,14.319999694824219,8.752833783276186,17.660299241753037,161.19340579816588
BAJAJFINSV.NS,Long,0.5222284509233681,2.3765731052638004,5.648099724663222,Medium,2035.5999755859375,2083.9774971364695,2006.5734626556184,141.39119390142466
AJAXENGG.NS,,,,,,,,,
HITECH.NS,Short,0.47823430611381385,0.0,0.0,,,,,
