Ticker,Type,Probability,Predicted Change,Predicted Variance,Confidence,Current Price,Target Price,SL Price,AIC Score
LALPATHLAB.NS,Long,0.5014395532991734,1.9115049549714462,3.6538511928803907,Low,3304.39990234375,3367.5636702091224,3257.0270764447205,4296.4907570588975
GRSE.NS,Short,0.46841628010409325,3.590844182137245,12.894161940388901,Medium,2714.800048828125,2617.315809218121,2787.9132285356277,5353.582439941034
GMMPFAUDLR.NS,Short,0.4404746285224643,1.929426125191658,3.7226851725720955,High,1102.199951171875,1080.9338173621152,1118.149551529195,4117.640431150301
GOACARBON.NS,Short,0.41535314275976715,1.8631085111794066,3.471173324429145,High,447.6499938964844,439.3097887599049,453.905147748919,4931.78617447869
CORDSCABLE.NS,Short,0.42416441712585956,2.4733955070656273,6.117685334372432,High,177.0800018310547,172.70011302185364,180.36491843795545,5195.6043503782275
ELLEN.NS,,,,,,,,,
DCXINDIA.NS,Short,0.46505121133638766,2.546587671303639,6.485108767635691,Medium,265.8999938964844,259.1286174339194,270.9785262434081,2539.6729848907994
ANDHRAPAP.NS,Short,0.4067897835185145,1.7770300038433515,3.157835634559502,High,78.7699966430664,77.37023016869271,79.81982149884668,4356.966214608981
AXITA.NS,Short,0.3082605843881124,0.5703533452601741,0.32530293844947133,,,,,
5PAISA.NS,Short,0.45135930983779926,1.4755080529307822,2.177124014263588,,,,,
GMRP&UI.NS,Long,0.5442596243097559,3.229599616265861,10.430313681384597,High,117.75,121.55285354815305,114.89785983888521,3475.6193391080296
20MICRONS.NS,Short,0.4447585676924148,2.2406482606966978,5.020504628163137,Low,227.74000549316406,222.63715302117092,231.56714484715891,5160.553779730224
ISGEC.NS,Short,0.46489185131902544,1.9366031713028375,3.7504318431002077,Low,945.5499877929688,927.2384367431165,959.2836510803579,4137.463378425315
KIRIINDUS.NS,Short,0.4766329537636166,2.8018688669616183,7.850469147648783,Medium,587.5499877929688,571.0876076071607,599.8967729323248,4629.370291562935
BRITANNIA.NS,Long,0.5053059243279091,1.0945064359029302,1.1979443382329351,,,,,
BALUFORGE.NS,Short,0.46334281004499656,1.618518936809148e-36,2.6196035488098146e-72,,,,,
KEI.NS,Short,0.4756658638153591,2.364935399814147,5.5929194452941005,Medium,4079.300048828125,3982.827237908753,4151.654657017654,4736.372281954629
CEWATER.NS,,,,,,,,,
AAKASH.NS,Short,0.36797481585720543,1.1001940625485467,1.2104269752670753,,,,,
DEVX.NS,,,,,,,,,
IGPL.NS,Short,0.44983811579883604,2.021496501076189,4.086448103863275,Low,425.6000061035156,416.996516871553,432.0526230274876,4665.888706892441
KANSAINER.NS,Short,0.4988237031832269,1.3524457080402559,1.8291093931965092,,,,,
KALYANIFRG.NS,Short,0.45719905970072067,1.9189197932303395,3.6822531728511687,Low,683.0,669.8937778122367,692.8296666408224,4842.518661200853
BAFNAPH.NS,Long,0.8272134713164405,4.278958327464343,18.30948436817645,Very High,159.9499969482422,166.79419066243796,154.81685166259535,4472.599981919992
FINPIPE.NS,Short,0.48930970273097835,1.941996691572204,3.771351150077386,Low,210.38999938964844,206.3042325621027,213.45432451030774,4553.330224594876
ALPSINDUS.NS,Short,0.3913514708869184,3.41421780238829,11.656883202145123,Low,1.7400000095367432,1.6805926194495817,1.7845555521021141,4943.3157664805485
IFBAGRO.NS,Short,0.4514705519544459,3.476651815528577,12.087107846418151,High,842.2999877929688,813.0161499751675,864.2628661563197,4659.224880754391
