Ticker,Type,Probability,Predicted Change,Predicted Variance,Confidence,Current Price,Target Price,SL Price,AIC Score
DODLA DAIRY LIMITED (XNSE:DODLA),Short,0.404682604,2.711290807,7.351097841,High,1317.199951,1281.48683,1338.627824,2950.382989
WINDLAS BIOTECH LIMITED (XNSE:WINDLAS),Short,0.426030475,2.396167089,5.741616716,High,922.7000122,900.5905782,935.9656726,3058.994689
DIAMOND POWER INFRASTRUCTURE LIMITED (XNSE:DIACABS),Short,0.436247142,4.699667934,22.08687869,High,150.8000031,143.7129037,155.0522627,1725.556188
SAI LIFE SCIENCES LIMITED (XNSE:SAILIFE),,,,,,,,,
URAVI DEFENCE AND TECHNOLOGY LIMITED (XNSE:URAVIDEF),Short,0.269987893,4.964095451,24.64224365,Very High,233.4499969,221.8613163,240.4032054,3974.727536
VINNY OVERSEAS LIMITED (XNSE:VINNY),Short,0.359378756,2.14468016,4.599652988,Very High,1.289999962,1.262333589,1.306599786,4027.490789
SAKAR HEALTHCARE LIMITED (XNSE:SAKAR),Short,0.427040018,19.97541841,399.0173406,Low,356.5,285.2876334,399.22742,4165.068146
THEJO ENGINEERING LIMITED (XNSE:THEJO),Short,0.428480236,2.158021727,4.657057776,High,1821,1781.702424,1844.578545,4183.02294
BATA INDIA LTD (XNSE:BATAINDIA),Short,0.465690826,1.699977608,2.889923867,Medium,1168.099976,1148.242538,1180.014438,2970.477953
JSW Steel Limited (XNSE:JSWSTEEL),Long,0.502951839,1.450397893,2.103654048,,,,,
MADHAV COPPER LIMITED (XNSE:MCL),Short,0.448447337,7.312248767,53.46898204,High,58.52999878,54.25013966,61.09791425,4153.108189
METROPOLIS HEALTHCARE LIMITED (XNSE:METROPOLIS),Short,0.431621304,2.028603279,4.115231265,Low,2014.599976,1973.731734,2039.12092,3658.431241
MTAR TECHNOLOGIES LIMITED (XNSE:MTARTECH),Short,0.492918315,2.699269667,7.286056737,Low,1879,1828.280723,1909.431566,3194.142404
MINDA CORPORATION LIMITED (XNSE:MINDACORP),Short,0.474336966,2.259639756,5.105971829,Low,571.2999878,558.3906661,579.0455808,3899.692116
QUALITY POWER ELECTRICAL EQUIPMENTS LIMITED (XNSE:QPOWER),,,,,,,,,
PI INDUSTRIES LIMITED (XNSE:PIIND),Short,0.432212997,1.710588765,2.926113924,High,3487.600098,3427.941602,3523.395195,3246.169103
CARYSIL LIMITED (XNSE:CARYSIL),Short,0.473236331,3.075431589,9.458279461,Medium,808.9000244,784.0228575,823.8263245,3736.451384
METRO BRANDS LIMITED (XNSE:METROBRAND),Short,0.44540319,2.262054627,5.116891133,High,1219,1191.425554,1235.544668,2350.771463
AARTI SURFACTANTS LIMITED (XNSE:AARTISURF),Short,0.45930828,2.178447143,4.745631954,High,464.75,454.6256669,470.8245999,3770.451323
SPANDANA SPHOORTY FINANCIAL LIMITED (XNSE:SPANDANA),Short,0.409728232,2.326185142,5.411137316,High,250.3899994,244.5654644,253.8847204,4159.300686
MANGALAM DRUGS AND ORGANICS LIMITED (XNSE:MANGALAM),Short,0.430305592,2.176287603,4.73622773,High,72.22000122,70.64828629,73.16303018,3879.103969
TIPS MUSIC LIMITED (XNSE:TIPSMUSIC),Short,0.455796112,2.203376176,4.854866571,High,586.5999756,573.6749715,594.3549781,4039.174289
MINDTECK (INDIA) LIMITED (XNSE:MINDTECK),Short,0.454181776,3.905098619,15.24979522,High,241.2400055,231.8193454,246.8924016,4569.151929
SHYAM TELECOM LIMITED (XNSE:SHYAMTEL),Long,0.509029198,3.150344038,9.92466756,Low,13.89000034,14.32758314,13.62745066,4568.230042
BAJAJ AUTO LIMITED. (XNSE:BAJAJ-AUTO),Short,0.478489238,1.481052952,2.193517847,,,,,
GODREJ PROPERTIES LIMITED (XNSE:GODREJPROP),Short,0.467627127,2.235338308,4.996737352,Low,1957.599976,1913.840993,1983.855365,3844.3852
KOTAK MAHINDRA BANK LIMITED (XNSE:KOTAKBANK),Short,0.491922879,1.273444126,1.621659942,,,,,
