ticker,entry_price,entry_time,exit_price,exit_time,result,pnl
BBL.NS,3142.60009765625,2025-10-01 09:16:00+05:30,3177.789780815271,2025-10-01 09:23:00+05:30,stop_loss,-35.189683159021115
WOCKPHARMA.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
SAMHI.NS,196.24000549316406,2025-10-01 09:15:00+05:30,201.61000061035156,2025-10-01 15:15:00+05:30,timeout,5.3699951171875
VALIANTLAB.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
TDPOWERSYS.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
OMKARCHEM.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
SCI.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
MAHSCOOTER.NS,17248.0,2025-10-01 09:15:00+05:30,16933.807745525253,2025-10-01 09:53:00+05:30,target,314.19225447474673
NAHARSPING.NS,204.0,2025-10-01 09:17:00+05:30,206.3488608566877,2025-10-01 14:26:00+05:30,stop_loss,-2.3488608566877076
CANTABIL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
BALAJITELE.NS,120.93000030517578,2025-10-01 09:19:00+05:30,117.62968751965468,2025-10-01 10:17:00+05:30,stop_loss,-3.3003127855211005
